participant,event_type,event_ts,event_ts_float,window_start,window_end,duration_sec,distance_px,start_x,start_y,end_x,end_y,delete_key,event_id
260808_WYX_W_AI,annotation,2026-08-08 14:26:19.741,1786170379.741,2026-08-08 14:26:09.741,2026-08-08 14:26:29.741,0.115,0.2,270.3,528.1,270.1,528.1,,49
260808_WYX_W_AI,annotation,2026-08-08 14:28:11.553,1786170491.553,2026-08-08 14:28:01.553,2026-08-08 14:28:21.553,0.11,0.6,1258.9,668.0,1259.4,667.6,,50
260808_WYX_W_AI,annotation,2026-08-08 14:40:49.756,1786171249.756,2026-08-08 14:40:39.756,2026-08-08 14:40:59.756,0.77,30.5,813.6,430.1,840.5,444.5,,51
260808_WYX_W_AI,annotation,2026-08-08 14:40:51.801,1786171251.801,2026-08-08 14:40:41.801,2026-08-08 14:41:01.801,0.685,34.1,820.1,422.3,835.3,452.9,,52
260808_WYX_W_AI,annotation,2026-08-08 14:40:54.357,1786171254.357,2026-08-08 14:40:44.357,2026-08-08 14:41:04.357,0.624,26.7,809.5,428.0,831.6,443.1,,53
260808_WYX_W_AI,annotation,2026-08-08 14:40:55.446,1786171255.446,2026-08-08 14:40:45.446,2026-08-08 14:41:05.446,0.555,15.5,835.6,445.2,841.0,459.8,,54
260808_WYX_W_AI,annotation,2026-08-08 14:40:56.571,1786171256.571,2026-08-08 14:40:46.571,2026-08-08 14:41:06.571,1.379,10.4,830.7,444.3,824.4,436.0,,55
260808_WYX_W_AI,annotation,2026-08-08 14:40:58.290,1786171258.29,2026-08-08 14:40:48.290,2026-08-08 14:41:08.290,0.838,11.4,832.2,448.0,841.5,454.6,,56
260808_WYX_W_AI,annotation,2026-08-08 14:41:36.479,1786171296.479,2026-08-08 14:41:26.479,2026-08-08 14:41:46.479,1.067,72.5,736.2,429.2,785.1,482.8,,57
260808_WYX_W_AI,annotation,2026-08-08 14:42:22.357,1786171342.357,2026-08-08 14:42:12.357,2026-08-08 14:42:32.357,2.108,93.7,1114.0,417.7,1020.8,427.3,,58
260808_WYX_W_AI,annotation,2026-08-08 14:42:35.969,1786171355.969,2026-08-08 14:42:25.969,2026-08-08 14:42:45.969,1.832,39.7,887.3,381.0,897.0,342.6,,59
260808_WYX_W_AI,annotation,2026-08-08 14:42:40.312,1786171360.312,2026-08-08 14:42:30.312,2026-08-08 14:42:50.312,1.087,75.7,910.6,363.9,986.1,359.0,,60
260808_WYX_W_AI,annotation,2026-08-08 14:44:09.172,1786171449.172,2026-08-08 14:43:59.172,2026-08-08 14:44:19.172,0.114,0.2,254.0,201.2,254.2,201.2,,61
260808_WYX_W_AI,annotation,2026-08-08 14:44:37.364,1786171477.364,2026-08-08 14:44:27.364,2026-08-08 14:44:47.364,0.114,0.7,909.8,61.8,909.3,61.3,,62
260808_WYX_W_AI,annotation,2026-08-08 14:46:19.735,1786171579.735,2026-08-08 14:46:09.735,2026-08-08 14:46:29.735,0.117,1.0,126.1,127.7,125.1,127.4,,63
260808_WYX_W_AI,annotation,2026-08-08 14:46:40.336,1786171600.336,2026-08-08 14:46:30.336,2026-08-08 14:46:50.336,0.118,0.3,1041.2,762.6,1041.0,762.8,,64
260808_WYX_W_AI,annotation,2026-08-08 14:52:36.393,1786171956.393,2026-08-08 14:52:26.393,2026-08-08 14:52:46.393,0.112,0.2,121.0,121.8,121.2,121.8,,65
260808_WYX_W_AI,annotation,2026-08-08 14:54:40.071,1786172080.071,2026-08-08 14:54:30.071,2026-08-08 14:54:50.071,0.652,64.2,1287.6,314.3,1294.8,250.5,,66
260808_WYX_W_AI,annotation,2026-08-08 14:56:11.962,1786172171.962,2026-08-08 14:56:01.962,2026-08-08 14:56:21.962,0.112,0.8,983.6,77.6,984.3,77.1,,67
260808_WYX_W_AI,annotation,2026-08-08 14:56:18.367,1786172178.367,2026-08-08 14:56:08.367,2026-08-08 14:56:28.367,0.103,0.5,124.7,126.1,124.3,126.3,,68
260808_WYX_W_AI,annotation,2026-08-08 14:56:57.353,1786172217.353,2026-08-08 14:56:47.353,2026-08-08 14:57:07.353,0.11,0.6,872.7,491.8,873.1,491.4,,69
260808_WYX_W_AI,annotation,2026-08-08 14:58:07.385,1786172287.385,2026-08-08 14:57:57.385,2026-08-08 14:58:17.385,0.104,0.2,988.2,60.6,988.2,60.4,,70
260808_WYX_W_AI,annotation,2026-08-08 14:58:08.946,1786172288.946,2026-08-08 14:57:58.946,2026-08-08 14:58:18.946,0.109,1.6,873.3,476.5,874.8,476.6,,71
260808_WYX_W_AI,annotation,2026-08-08 15:00:15.903,1786172415.903,2026-08-08 15:00:05.903,2026-08-08 15:00:25.903,0.134,0.7,123.4,116.3,123.4,117.0,,72
260808_WYX_W_AI,annotation,2026-08-08 15:00:34.961,1786172434.961,2026-08-08 15:00:24.961,2026-08-08 15:00:44.961,0.104,0.9,1108.2,690.9,1108.4,691.8,,73
260808_WYX_W_AI,annotation,2026-08-08 15:00:58.753,1786172458.753,2026-08-08 15:00:48.753,2026-08-08 15:01:08.753,0.105,0.2,904.2,64.7,904.2,64.5,,74
260808_WYX_W_AI,annotation,2026-08-08 15:01:29.698,1786172489.698,2026-08-08 15:01:19.698,2026-08-08 15:01:39.698,0.109,0.3,127.9,128.4,127.7,128.2,,75
260808_WYX_W_AI,annotation,2026-08-08 15:01:30.873,1786172490.873,2026-08-08 15:01:20.873,2026-08-08 15:01:40.873,0.103,0.2,284.2,411.9,284.4,411.9,,76
260808_WYX_W_AI,annotation,2026-08-08 15:02:10.248,1786172530.248,2026-08-08 15:02:00.248,2026-08-08 15:02:20.248,0.773,5.2,1336.2,539.0,1335.7,533.9,,77
260808_WYX_W_AI,annotation,2026-08-08 15:02:14.870,1786172534.87,2026-08-08 15:02:04.870,2026-08-08 15:02:24.870,0.838,80.5,1247.9,559.3,1301.9,619.1,,78
260808_WYX_W_AI,annotation,2026-08-08 15:02:48.379,1786172568.379,2026-08-08 15:02:38.379,2026-08-08 15:02:58.379,0.103,0.2,978.8,57.0,979.1,57.0,,79
260808_WYX_W_AI,annotation,2026-08-08 15:04:09.453,1786172649.453,2026-08-08 15:03:59.453,2026-08-08 15:04:19.453,0.112,0.6,122.0,121.8,122.5,122.2,,80
260808_WYX_W_AI,annotation,2026-08-08 15:06:35.582,1786172795.582,2026-08-08 15:06:25.582,2026-08-08 15:06:45.582,1.982,92.0,1086.0,635.8,1134.1,714.2,,81
260808_WYX_W_AI,annotation,2026-08-08 15:07:48.843,1786172868.843,2026-08-08 15:07:38.843,2026-08-08 15:07:58.843,0.104,1.5,976.3,71.9,976.8,70.5,,82
260808_WYX_W_AI,annotation,2026-08-08 15:08:47.058,1786172927.058,2026-08-08 15:08:37.058,2026-08-08 15:08:57.058,0.113,0.2,901.7,333.7,901.9,333.7,,83
260808_WYX_W_AI,annotation,2026-08-08 15:10:53.563,1786173053.563,2026-08-08 15:10:43.563,2026-08-08 15:11:03.563,0.1,1.2,885.0,489.6,884.1,488.9,,84
260808_WYX_W_AI,annotation,2026-08-08 15:12:32.614,1786173152.614,2026-08-08 15:12:22.614,2026-08-08 15:12:42.614,0.113,0.2,261.8,206.3,261.8,206.5,,85
260808_WYX_W_AI,annotation,2026-08-08 15:17:51.122,1786173471.122,2026-08-08 15:17:41.122,2026-08-08 15:18:01.122,0.124,0.2,461.1,179.4,461.1,179.2,,86
260808_WYX_W_AI,annotation,2026-08-08 15:25:19.260,1786173919.26,2026-08-08 15:25:09.260,2026-08-08 15:25:29.260,0.124,0.2,1176.1,1053.9,1175.8,1053.9,,87
260808_WYX_W_AI,annotation,2026-08-08 15:26:25.218,1786173985.218,2026-08-08 15:26:15.218,2026-08-08 15:26:35.218,1.53,63.3,975.3,478.2,1032.1,450.3,,88
260808_WYX_W_AI,annotation,2026-08-08 15:26:28.952,1786173988.952,2026-08-08 15:26:18.952,2026-08-08 15:26:38.952,0.372,523.4,55.7,441.2,576.2,496.5,,89
260808_WYX_W_AI,annotation,2026-08-08 15:26:34.187,1786173994.187,2026-08-08 15:26:24.187,2026-08-08 15:26:44.187,0.235,604.9,47.4,318.6,635.1,462.0,,90
260808_WYX_W_AI,annotation,2026-08-08 15:26:38.546,1786173998.546,2026-08-08 15:26:28.546,2026-08-08 15:26:48.546,1.345,49.5,1129.6,601.2,1171.6,627.3,,91
260808_WYX_W_AI,annotation,2026-08-08 15:26:40.523,1786174000.523,2026-08-08 15:26:30.523,2026-08-08 15:26:50.523,0.572,44.4,1100.1,610.4,1144.4,612.5,,92
260808_WYX_W_AI,annotation,2026-08-08 15:26:41.474,1786174001.474,2026-08-08 15:26:31.474,2026-08-08 15:26:51.474,1.12,6.3,1111.6,607.1,1118.0,606.7,,93
260808_WYX_W_AI,annotation,2026-08-08 15:26:49.557,1786174009.557,2026-08-08 15:26:39.557,2026-08-08 15:26:59.557,1.141,11.4,984.4,559.7,995.2,563.2,,94
260808_WYX_W_AI,annotation,2026-08-08 15:26:54.475,1786174014.475,2026-08-08 15:26:44.475,2026-08-08 15:27:04.475,0.94,30.0,1207.7,514.1,1187.3,492.1,,95
260808_WYX_W_AI,annotation,2026-08-08 15:26:55.606,1786174015.606,2026-08-08 15:26:45.606,2026-08-08 15:27:05.606,2.027,29.5,1138.4,500.9,1167.8,504.0,,96
260808_WYX_W_AI,annotation,2026-08-08 15:28:21.144,1786174101.144,2026-08-08 15:28:11.144,2026-08-08 15:28:31.144,0.219,343.6,69.7,436.0,411.7,468.6,,97
260808_WYX_W_AI,annotation,2026-08-08 15:29:08.649,1786174148.649,2026-08-08 15:28:58.649,2026-08-08 15:29:18.649,0.31,563.8,93.6,317.2,639.3,458.9,,98
260808_WYX_W_AI,annotation,2026-08-08 15:29:16.438,1786174156.438,2026-08-08 15:29:06.438,2026-08-08 15:29:26.438,0.332,34.2,904.9,456.8,872.0,466.0,,99
260808_WYX_W_AI,annotation,2026-08-08 15:29:17.566,1786174157.566,2026-08-08 15:29:07.566,2026-08-08 15:29:27.566,0.341,119.6,872.2,456.1,991.8,451.1,,100
260808_WYX_W_AI,annotation,2026-08-08 15:29:36.844,1786174176.844,2026-08-08 15:29:26.844,2026-08-08 15:29:46.844,0.103,1.4,118.6,126.5,119.9,126.1,,101
260808_WYX_W_AI,annotation,2026-08-08 15:29:40.809,1786174180.809,2026-08-08 15:29:30.809,2026-08-08 15:29:50.809,0.771,150.8,1013.6,517.6,1156.0,567.2,,102
260808_WYX_W_AI,annotation,2026-08-08 15:29:41.875,1786174181.875,2026-08-08 15:29:31.875,2026-08-08 15:29:51.875,0.248,146.1,948.5,534.7,1094.4,542.7,,103
260808_WYX_W_AI,annotation,2026-08-08 15:29:42.476,1786174182.476,2026-08-08 15:29:32.476,2026-08-08 15:29:52.476,0.202,69.3,986.3,536.4,1026.7,480.1,,104
260808_WYX_W_AI,annotation,2026-08-08 15:29:43.105,1786174183.105,2026-08-08 15:29:33.105,2026-08-08 15:29:53.105,0.635,39.6,1007.0,502.8,1039.7,525.0,,105
260808_WYX_W_AI,annotation,2026-08-08 15:30:01.023,1786174201.023,2026-08-08 15:29:51.023,2026-08-08 15:30:11.023,1.051,20.3,1198.7,471.0,1178.4,471.9,,106
260808_WYX_W_AI,annotation,2026-08-08 15:31:53.770,1786174313.77,2026-08-08 15:31:43.770,2026-08-08 15:32:03.770,0.171,437.4,62.2,434.7,497.8,474.5,,107
260808_WYX_W_AI,annotation,2026-08-08 15:32:00.614,1786174320.614,2026-08-08 15:31:50.614,2026-08-08 15:32:10.614,0.378,559.0,33.1,308.9,566.1,477.6,,108
260808_WYX_W_AI,annotation,2026-08-08 15:32:41.588,1786174361.588,2026-08-08 15:32:31.588,2026-08-08 15:32:51.588,0.952,44.4,1060.5,598.4,1088.6,632.8,,109
260808_WYX_W_AI,annotation,2026-08-08 15:32:51.187,1786174371.187,2026-08-08 15:32:41.187,2026-08-08 15:33:01.187,0.894,69.7,1054.1,582.6,1102.4,632.9,,110
260808_WYX_W_AI,annotation,2026-08-08 15:33:00.886,1786174380.886,2026-08-08 15:32:50.886,2026-08-08 15:33:10.886,0.741,151.0,931.4,532.4,1050.5,625.1,,111
260808_WYX_W_AI,annotation,2026-08-08 15:33:01.928,1786174381.928,2026-08-08 15:32:51.928,2026-08-08 15:33:11.928,0.376,60.0,900.2,533.6,938.0,580.3,,112
260808_WYX_W_AI,annotation,2026-08-08 15:33:02.564,1786174382.564,2026-08-08 15:32:52.564,2026-08-08 15:33:12.564,0.646,65.4,841.2,484.4,791.5,441.9,,113
260808_WYX_W_AI,annotation,2026-08-08 15:33:03.548,1786174383.548,2026-08-08 15:32:53.548,2026-08-08 15:33:13.548,0.525,72.2,805.4,468.9,799.5,397.0,,114
260808_WYX_W_AI,annotation,2026-08-08 15:33:04.155,1786174384.155,2026-08-08 15:32:54.155,2026-08-08 15:33:14.155,0.25,79.3,799.2,397.0,724.4,423.3,,115
260808_WYX_W_AI,annotation,2026-08-08 15:33:04.669,1786174384.669,2026-08-08 15:32:54.669,2026-08-08 15:33:14.669,0.161,41.5,840.7,438.4,812.6,407.9,,116
260808_WYX_W_AI,annotation,2026-08-08 15:33:08.604,1786174388.604,2026-08-08 15:32:58.604,2026-08-08 15:33:18.604,0.216,11.7,1038.7,479.3,1027.8,483.3,,117
260808_WYX_W_AI,annotation,2026-08-08 15:33:09.272,1786174389.272,2026-08-08 15:32:59.272,2026-08-08 15:33:19.272,0.517,73.4,1075.5,385.8,1006.0,409.4,,118
260808_WYX_W_AI,annotation,2026-08-08 15:33:10.005,1786174390.005,2026-08-08 15:33:00.005,2026-08-08 15:33:20.005,0.308,17.1,1089.7,481.0,1106.7,478.5,,119
260808_WYX_W_AI,annotation,2026-08-08 15:33:10.576,1786174390.576,2026-08-08 15:33:00.576,2026-08-08 15:33:20.576,0.165,3.5,1132.9,475.4,1135.8,477.3,,120
260808_WYX_W_AI,annotation,2026-08-08 15:33:11.700,1786174391.7,2026-08-08 15:33:01.700,2026-08-08 15:33:21.700,0.101,1.2,784.1,54.2,784.6,53.0,,121
260808_WYX_W_AI,annotation,2026-08-08 15:33:12.421,1786174392.421,2026-08-08 15:33:02.421,2026-08-08 15:33:22.421,0.112,0.5,809.2,46.6,809.2,46.2,,122
260808_WYX_W_AI,annotation,2026-08-08 15:33:16.292,1786174396.292,2026-08-08 15:33:06.292,2026-08-08 15:33:26.292,0.105,0.6,799.7,49.1,800.2,48.6,,123
260808_WYX_W_AI,annotation,2026-08-08 15:33:20.736,1786174400.736,2026-08-08 15:33:10.736,2026-08-08 15:33:30.736,0.354,4.0,1194.4,383.8,1192.9,380.2,,124
260808_WYX_W_AI,annotation,2026-08-08 15:33:25.403,1786174405.403,2026-08-08 15:33:15.403,2026-08-08 15:33:35.403,0.107,0.2,281.9,206.6,282.1,206.6,,125
260808_WYX_W_AI,annotation,2026-08-08 15:33:27.819,1786174407.819,2026-08-08 15:33:17.819,2026-08-08 15:33:37.819,0.426,91.7,1066.6,497.6,975.2,490.4,,126
260808_WYX_W_AI,annotation,2026-08-08 15:33:29.126,1786174409.126,2026-08-08 15:33:19.126,2026-08-08 15:33:39.126,0.544,169.1,907.2,456.7,1005.5,594.3,,127
260808_WYX_W_AI,annotation,2026-08-08 15:33:29.871,1786174409.871,2026-08-08 15:33:19.871,2026-08-08 15:33:39.871,0.242,91.6,975.1,547.8,983.1,456.5,,128
260808_WYX_W_AI,annotation,2026-08-08 15:33:33.280,1786174413.28,2026-08-08 15:33:23.280,2026-08-08 15:33:43.280,0.432,96.0,998.3,468.6,902.7,478.2,,129
260808_WYX_W_AI,annotation,2026-08-08 15:33:33.945,1786174413.945,2026-08-08 15:33:23.945,2026-08-08 15:33:43.945,0.208,52.8,899.1,473.9,950.5,485.4,,130
260808_WYX_W_AI,annotation,2026-08-08 15:33:35.656,1786174415.656,2026-08-08 15:33:25.656,2026-08-08 15:33:45.656,0.142,0.3,909.4,461.1,909.7,460.9,,131
260808_WYX_W_AI,annotation,2026-08-08 15:33:36.319,1786174416.319,2026-08-08 15:33:26.319,2026-08-08 15:33:46.319,0.319,33.2,895.6,456.0,903.8,488.1,,132
