event_id,participant,event_type,verified,notes,event_ts,duration_sec,distance_px,start_x,start_y,end_x,end_y,window_start,window_end,plot_path
388,260808_BBY_W_AI,annotation,,,2026-08-08 19:07:08.507,0.201,127.8,1171.3,577.9,1295.7,548.4,2026-08-08 19:06:58.507,2026-08-08 19:07:18.507,plots\260808_BBY_W_AI\event_0388.png
389,260808_BBY_W_AI,annotation,,,2026-08-08 19:07:09.077,0.111,24.5,1212.8,563.5,1236.9,559.1,2026-08-08 19:06:59.077,2026-08-08 19:07:19.077,plots\260808_BBY_W_AI\event_0389.png
390,260808_BBY_W_AI,annotation,,,2026-08-08 19:07:51.300,0.143,136.9,1224.4,570.2,1360.2,552.9,2026-08-08 19:07:41.300,2026-08-08 19:08:01.300,plots\260808_BBY_W_AI\event_0390.png
391,260808_BBY_W_AI,annotation,,,2026-08-08 19:07:51.711,0.196,184.9,1152.0,607.3,1333.9,573.5,2026-08-08 19:07:41.711,2026-08-08 19:08:01.711,plots\260808_BBY_W_AI\event_0391.png
392,260808_BBY_W_AI,annotation,,,2026-08-08 19:07:52.177,0.142,48.2,1196.0,618.9,1243.7,611.4,2026-08-08 19:07:42.177,2026-08-08 19:08:02.177,plots\260808_BBY_W_AI\event_0392.png
393,260808_BBY_W_AI,annotation,,,2026-08-08 19:08:58.236,0.157,135.3,1088.8,585.6,1224.0,580.0,2026-08-08 19:08:48.236,2026-08-08 19:09:08.236,plots\260808_BBY_W_AI\event_0393.png
394,260808_BBY_W_AI,annotation,,,2026-08-08 19:08:58.641,0.135,128.0,1108.3,625.1,1234.1,601.9,2026-08-08 19:08:48.641,2026-08-08 19:09:08.641,plots\260808_BBY_W_AI\event_0394.png
395,260808_BBY_W_AI,annotation,,,2026-08-08 19:08:59.070,0.148,47.9,1143.0,620.0,1190.8,617.9,2026-08-08 19:08:49.070,2026-08-08 19:09:09.070,plots\260808_BBY_W_AI\event_0395.png
396,260808_BBY_W_AI,annotation,,,2026-08-08 19:08:59.892,0.795,13.4,1189.0,618.2,1186.4,605.0,2026-08-08 19:08:49.892,2026-08-08 19:09:09.892,plots\260808_BBY_W_AI\event_0396.png
397,260808_BBY_W_AI,annotation,,,2026-08-08 19:11:06.724,0.548,118.6,1172.7,579.3,1275.2,519.6,2026-08-08 19:10:56.724,2026-08-08 19:11:16.724,plots\260808_BBY_W_AI\event_0397.png
398,260808_BBY_W_AI,annotation,,,2026-08-08 19:11:07.521,0.164,253.7,1062.9,607.5,1312.7,563.2,2026-08-08 19:10:57.521,2026-08-08 19:11:17.521,plots\260808_BBY_W_AI\event_0398.png
399,260808_BBY_W_AI,annotation,,,2026-08-08 19:11:07.933,0.135,60.5,1148.2,588.8,1207.4,576.4,2026-08-08 19:10:57.933,2026-08-08 19:11:17.933,plots\260808_BBY_W_AI\event_0399.png
400,260808_BBY_W_AI,annotation,,,2026-08-08 19:11:41.247,0.645,76.6,1104.9,511.4,1175.5,481.8,2026-08-08 19:11:31.247,2026-08-08 19:11:51.247,plots\260808_BBY_W_AI\event_0400.png
401,260808_BBY_W_AI,annotation,,,2026-08-08 19:11:42.132,0.24,171.7,1008.3,546.8,1177.3,516.8,2026-08-08 19:11:32.132,2026-08-08 19:11:52.132,plots\260808_BBY_W_AI\event_0401.png
402,260808_BBY_W_AI,annotation,,,2026-08-08 19:11:42.589,0.143,58.3,1078.3,535.9,1136.1,527.8,2026-08-08 19:11:32.589,2026-08-08 19:11:52.589,plots\260808_BBY_W_AI\event_0402.png
403,260808_BBY_W_AI,annotation,,,2026-08-08 19:13:14.689,0.264,125.2,1124.3,581.7,1013.5,640.0,2026-08-08 19:13:04.689,2026-08-08 19:13:24.689,plots\260808_BBY_W_AI\event_0403.png
404,260808_BBY_W_AI,annotation,,,2026-08-08 19:13:15.183,0.405,101.0,1080.5,616.6,1161.7,556.5,2026-08-08 19:13:05.183,2026-08-08 19:13:25.183,plots\260808_BBY_W_AI\event_0404.png
405,260808_BBY_W_AI,annotation,,,2026-08-08 19:13:16.197,0.585,122.4,1053.1,555.5,1167.3,511.5,2026-08-08 19:13:06.197,2026-08-08 19:13:26.197,plots\260808_BBY_W_AI\event_0405.png
406,260808_BBY_W_AI,annotation,,,2026-08-08 19:13:17.054,0.193,234.0,1003.8,628.5,1224.7,551.3,2026-08-08 19:13:07.054,2026-08-08 19:13:27.054,plots\260808_BBY_W_AI\event_0406.png
407,260808_BBY_W_AI,annotation,,,2026-08-08 19:13:17.880,0.234,283.6,1102.5,716.8,1341.3,563.8,2026-08-08 19:13:07.880,2026-08-08 19:13:27.880,plots\260808_BBY_W_AI\event_0407.png
408,260808_BBY_W_AI,annotation,,,2026-08-08 19:13:18.380,0.21,266.9,1055.4,709.0,1300.9,604.6,2026-08-08 19:13:08.380,2026-08-08 19:13:28.380,plots\260808_BBY_W_AI\event_0408.png
409,260808_BBY_W_AI,annotation,,,2026-08-08 19:13:18.837,0.164,176.9,1088.5,685.7,1262.3,652.7,2026-08-08 19:13:08.837,2026-08-08 19:13:28.837,plots\260808_BBY_W_AI\event_0409.png
410,260808_BBY_W_AI,annotation,,,2026-08-08 19:13:19.340,0.763,10.6,1146.2,681.3,1155.5,676.3,2026-08-08 19:13:09.340,2026-08-08 19:13:29.340,plots\260808_BBY_W_AI\event_0410.png
411,260808_BBY_W_AI,annotation,,,2026-08-08 19:13:47.688,0.548,56.1,1093.8,521.0,1141.5,491.4,2026-08-08 19:13:37.688,2026-08-08 19:13:57.688,plots\260808_BBY_W_AI\event_0411.png
412,260808_BBY_W_AI,annotation,,,2026-08-08 19:13:48.484,0.217,179.7,936.4,566.7,1112.3,529.7,2026-08-08 19:13:38.484,2026-08-08 19:13:58.484,plots\260808_BBY_W_AI\event_0412.png
413,260808_BBY_W_AI,annotation,,,2026-08-08 19:13:48.971,0.314,50.3,1027.1,548.7,1076.2,538.2,2026-08-08 19:13:38.971,2026-08-08 19:13:58.971,plots\260808_BBY_W_AI\event_0413.png
414,260808_BBY_W_AI,annotation,,,2026-08-08 19:13:49.547,0.233,11.1,1040.1,558.8,1051.1,556.5,2026-08-08 19:13:39.547,2026-08-08 19:13:59.547,plots\260808_BBY_W_AI\event_0414.png
415,260808_BBY_W_AI,annotation,,,2026-08-08 19:15:35.325,0.47,90.6,1027.4,528.6,1115.3,506.8,2026-08-08 19:15:25.325,2026-08-08 19:15:45.325,plots\260808_BBY_W_AI\event_0415.png
416,260808_BBY_W_AI,annotation,,,2026-08-08 19:15:36.057,0.15,136.2,968.4,550.9,1103.5,533.8,2026-08-08 19:15:26.057,2026-08-08 19:15:46.057,plots\260808_BBY_W_AI\event_0416.png
417,260808_BBY_W_AI,annotation,,,2026-08-08 19:15:36.474,0.161,109.2,1018.1,552.8,1126.2,537.7,2026-08-08 19:15:26.474,2026-08-08 19:15:46.474,plots\260808_BBY_W_AI\event_0417.png
418,260808_BBY_W_AI,annotation,,,2026-08-08 19:15:36.898,0.839,22.2,1042.8,560.6,1062.4,550.0,2026-08-08 19:15:26.898,2026-08-08 19:15:46.898,plots\260808_BBY_W_AI\event_0418.png
419,260808_BBY_W_AI,annotation,,,2026-08-08 19:16:46.191,0.547,28.9,1109.3,509.5,1132.0,491.5,2026-08-08 19:16:36.191,2026-08-08 19:16:56.191,plots\260808_BBY_W_AI\event_0419.png
420,260808_BBY_W_AI,annotation,,,2026-08-08 19:16:46.972,0.179,97.4,1035.2,547.8,1131.0,529.6,2026-08-08 19:16:36.972,2026-08-08 19:16:56.972,plots\260808_BBY_W_AI\event_0420.png
421,260808_BBY_W_AI,annotation,,,2026-08-08 19:16:47.398,0.164,100.3,1055.9,551.0,1155.5,538.9,2026-08-08 19:16:37.398,2026-08-08 19:16:57.398,plots\260808_BBY_W_AI\event_0421.png
422,260808_BBY_W_AI,annotation,,,2026-08-08 19:16:47.796,0.162,17.5,1092.3,547.5,1109.3,543.5,2026-08-08 19:16:37.796,2026-08-08 19:16:57.796,plots\260808_BBY_W_AI\event_0422.png
423,260808_BBY_W_AI,annotation,,,2026-08-08 19:18:00.409,0.502,41.0,1135.7,564.5,1173.6,548.8,2026-08-08 19:17:50.409,2026-08-08 19:18:10.409,plots\260808_BBY_W_AI\event_0423.png
424,260808_BBY_W_AI,annotation,,,2026-08-08 19:18:01.138,0.179,156.2,1032.6,599.8,1187.7,581.2,2026-08-08 19:17:51.138,2026-08-08 19:18:11.138,plots\260808_BBY_W_AI\event_0424.png
425,260808_BBY_W_AI,annotation,,,2026-08-08 19:18:01.821,0.17,76.8,1185.6,583.7,1256.2,553.4,2026-08-08 19:17:51.821,2026-08-08 19:18:11.821,plots\260808_BBY_W_AI\event_0425.png
426,260808_BBY_W_AI,annotation,,,2026-08-08 19:18:02.263,0.17,53.6,1134.1,589.9,1187.6,587.3,2026-08-08 19:17:52.263,2026-08-08 19:18:12.263,plots\260808_BBY_W_AI\event_0426.png
427,260808_BBY_W_AI,annotation,,,2026-08-08 19:18:02.980,0.361,4.1,1175.4,577.5,1174.2,573.6,2026-08-08 19:17:52.980,2026-08-08 19:18:12.980,plots\260808_BBY_W_AI\event_0427.png
428,260808_BBY_W_AI,annotation,,,2026-08-08 19:18:41.442,0.128,188.9,744.3,560.2,932.7,545.1,2026-08-08 19:18:31.442,2026-08-08 19:18:51.442,plots\260808_BBY_W_AI\event_0428.png
429,260808_BBY_W_AI,annotation,,,2026-08-08 19:18:42.053,0.1,126.1,952.8,550.1,1076.0,523.2,2026-08-08 19:18:32.053,2026-08-08 19:18:52.053,plots\260808_BBY_W_AI\event_0429.png
430,260808_BBY_W_AI,annotation,,,2026-08-08 19:18:42.422,0.148,35.5,972.7,539.9,1008.0,536.3,2026-08-08 19:18:32.422,2026-08-08 19:18:52.422,plots\260808_BBY_W_AI\event_0430.png
431,260808_BBY_W_AI,annotation,,,2026-08-08 19:21:52.245,0.118,0.5,725.6,387.2,726.1,387.0,2026-08-08 19:21:42.245,2026-08-08 19:22:02.245,plots\260808_BBY_W_AI\event_0431.png
1,260808_WYX_W_AI,annotation,,,2026-08-08 13:55:20.630,0.113,0.5,41.7,49.6,41.3,49.6,2026-08-08 13:55:10.630,2026-08-08 13:55:30.630,plots\260808_WYX_W_AI\event_0001.png
2,260808_WYX_W_AI,annotation,,,2026-08-08 13:55:29.875,0.106,0.5,386.9,1048.0,387.4,1048.2,2026-08-08 13:55:19.875,2026-08-08 13:55:39.875,plots\260808_WYX_W_AI\event_0002.png
3,260808_WYX_W_AI,annotation,,,2026-08-08 14:01:11.169,0.111,0.5,33.1,59.6,32.6,59.6,2026-08-08 14:01:01.169,2026-08-08 14:01:21.169,plots\260808_WYX_W_AI\event_0003.png
