order,start_ts,start_t,start_video_sec,end_ts,end_t,end_video_sec,duration_sec,open_x,open_y,prev_y_delta,prev_dt_sec,n_clicks
21,2026-08-10T18:50:39.137,1786359039.2455,2755.246,2026-08-10T18:53:24.513,1786359204.6285,2920.628,165.383,785.6,532.0,18.9,82.64,2
22,2026-08-10T18:53:24.513,1786359204.6285,2920.628,2026-08-10T18:59:17.378,1786359557.49,3273.49,352.862,982.0,162.3,-369.7,165.38,2
23,2026-08-10T18:59:17.378,1786359557.49,3273.49,2026-08-10T19:01:19.317,1786359679.421,3395.421,121.931,902.0,588.8,426.5,352.86,2
24,2026-08-10T19:01:19.317,1786359679.421,3395.421,2026-08-10T19:10:01.209,1786360201.3025,3917.303,521.882,759.1,602.6,13.8,121.93,4
25,2026-08-10T19:10:01.209,1786360201.3025,3917.303,2026-08-10T19:18:25.949,1786360706.062,4422.062,504.76,747.0,403.7,-198.9,521.88,2
26,2026-08-10T19:18:25.949,1786360706.062,4422.062,2026-08-10T19:21:11.812,1786360871.9095,4587.909,165.847,914.1,603.0,199.3,504.76,2
27,2026-08-10T19:21:11.812,1786360871.9095,4587.909,2026-08-10T19:22:32.557,1786360952.8905,4668.891,80.981,890.6,623.6,20.6,165.85,2
28,2026-08-10T19:22:32.557,1786360952.8905,4668.891,2026-08-10T19:23:21.631,1786361001.7245,4717.724,48.834,523.8,640.8,17.2,80.98,3
29,2026-08-10T19:23:21.631,1786361001.7245,4717.724,2026-08-10T19:24:25.809,1786361065.922,4781.922,64.197,701.6,656.8,16.0,48.83,2
30,2026-08-10T19:24:25.809,1786361065.922,4781.922,2026-08-10T19:25:00.271,1786361100.59,4816.59,34.668,753.6,686.0,29.2,64.2,2
31,2026-08-10T19:25:00.271,1786361100.59,4816.59,2026-08-10T19:25:42.436,1786361142.7795,4858.78,42.19,856.7,702.3,16.3,34.67,3
32,2026-08-10T19:25:42.436,1786361142.7795,4858.78,2026-08-10T19:26:37.691,1786361197.7765,4913.776,54.997,967.7,714.6,12.3,42.19,3
33,2026-08-10T19:26:37.691,1786361197.7765,4913.776,2026-08-10T19:30:21.752,1786361421.846,5137.846,224.069,1156.6,770.0,55.4,55.0,2
34,2026-08-10T19:30:21.752,1786361421.846,5137.846,2026-08-10T19:31:09.761,1786361469.8655,5185.865,48.02,726.1,777.5,7.5,224.07,2
35,2026-08-10T19:31:09.761,1786361469.8655,5185.865,2026-08-10T19:31:43.173,1786361503.5175,5219.517,33.652,830.0,788.4,10.9,48.02,2
36,2026-08-10T19:31:43.173,1786361503.5175,5219.517,2026-08-10T19:33:01.367,1786361581.4605,5297.461,77.943,948.3,810.0,21.6,33.65,3
37,2026-08-10T19:33:01.367,1786361581.4605,5297.461,2026-08-10T19:34:15.099,1786361655.197,5371.197,73.737,896.4,824.3,14.3,77.94,2
38,2026-08-10T19:34:15.099,1786361655.197,5371.197,2026-08-10T19:35:20.177,1786361720.275,5436.275,65.078,966.2,847.3,23.0,73.74,2
39,2026-08-10T19:35:20.177,1786361720.275,5436.275,2026-08-10T19:36:32.073,1786361792.1735,5508.174,71.898,856.7,872.3,25.0,65.08,2
40,2026-08-10T19:36:32.073,1786361792.1735,5508.174,2026-08-10T19:37:31.652,1786361851.776,5567.776,59.602,1023.7,889.4,17.1,71.9,2
41,2026-08-10T19:37:31.652,1786361851.776,5567.776,2026-08-10T19:41:38.875,1786362099.0015,5815.001,247.225,816.6,903.1,13.7,59.6,2
42,2026-08-10T19:41:38.875,1786362099.0015,5815.001,2026-08-10T19:41:41.448,1786362101.527,5817.527,2.526,73.9,225.0,-678.1,247.23,2
43,2026-08-10T19:41:41.448,1786362101.527,5817.527,2026-08-10T19:42:01.562,1786362121.669,5837.669,20.142,255.2,164.9,-60.1,2.53,4
44,2026-08-10T19:42:01.562,1786362121.669,5837.669,2026-08-10T19:43:07.886,1786362188.081,5904.081,66.412,455.4,186.9,22.0,20.14,2
45,2026-08-10T19:43:07.886,1786362188.081,5904.081,2026-08-10T20:03:03.417,1786363383.514,7099.514,1195.433,752.3,40.7,-146.2,66.41,2
46,2026-08-10T20:03:03.417,1786363383.514,7099.514,2026-08-10T20:15:57.080,1786364157.3985,7873.398,773.885,936.2,363.1,322.4,1195.43,2
47,2026-08-10T20:15:57.080,1786364157.3985,7873.398,2026-08-10T20:16:05.213,1786364165.4225,7881.422,8.024,78.8,193.9,-169.2,773.88,3
48,2026-08-10T20:16:05.213,1786364165.4225,7881.422,2026-08-10T20:24:07.776,1786364647.885,8363.885,482.463,791.3,41.4,-152.5,8.02,2
49,2026-08-10T20:24:07.776,1786364647.885,8363.885,2026-08-10T20:26:29.226,1786364789.3275,8505.328,141.443,548.9,208.4,167.0,482.46,2
50,2026-08-10T20:26:29.226,1786364789.3275,8505.328,2026-08-10T20:27:57.552,1786364877.659,8593.659,88.331,535.5,220.8,12.4,141.44,2
51,2026-08-10T20:27:57.552,1786364877.659,8593.659,2026-08-10T20:30:40.626,1786365040.7385,8756.739,163.08,626.8,240.0,19.2,88.33,2
52,2026-08-10T20:30:40.626,1786365040.7385,8756.739,2026-08-10T20:32:47.281,1786365167.4215,8883.421,126.683,758.8,259.4,19.4,163.08,2
53,2026-08-10T20:32:47.281,1786365167.4215,8883.421,2026-08-10T20:38:11.186,1786365491.302,9207.302,323.881,352.8,269.5,10.1,126.68,2
54,2026-08-10T20:38:11.186,1786365491.302,9207.302,2026-08-10T20:42:09.874,1786365729.994,9445.994,238.692,745.8,284.4,14.9,323.88,2
55,2026-08-10T20:42:09.874,1786365729.994,9445.994,2026-08-10T20:44:27.215,1786365867.3245,9583.325,137.331,696.9,298.1,13.7,238.69,2
56,2026-08-10T20:44:27.215,1786365867.3245,9583.325,2026-08-10T20:47:11.399,1786366031.5045,9747.504,164.18,683.2,319.8,21.7,137.33,2
57,2026-08-10T20:47:11.399,1786366031.5045,9747.504,2026-08-10T20:49:02.400,1786366142.7485,9858.749,111.244,685.6,334.7,14.9,164.18,2
58,2026-08-10T20:49:02.400,1786366142.7485,9858.749,2026-08-10T20:50:58.463,1786366258.5725,9974.572,115.824,531.3,357.7,23.0,111.24,3
59,2026-08-10T20:50:58.463,1786366258.5725,9974.572,2026-08-10T20:54:02.326,1786366442.4265,10158.427,183.854,786.2,371.5,13.8,115.82,2
60,2026-08-10T20:54:02.326,1786366442.4265,10158.427,2026-08-10T20:57:21.735,1786366641.834,10357.834,199.408,628.2,394.5,23.0,183.85,2
61,2026-08-10T20:57:21.735,1786366641.834,10357.834,2026-08-10T20:57:36.571,1786366656.6875,10372.688,14.853,589.4,398.7,4.2,199.41,2
62,2026-08-10T20:57:36.571,1786366656.6875,10372.688,2026-08-10T20:59:53.739,1786366793.8325,10509.832,137.145,669.0,418.4,19.7,14.85,2
63,2026-08-10T20:59:53.739,1786366793.8325,10509.832,2026-08-10T21:02:36.477,1786366956.582,10672.582,162.75,589.9,428.8,10.4,137.14,2
64,2026-08-10T21:02:36.477,1786366956.582,10672.582,2026-08-10T21:04:36.023,1786367076.124,10792.124,119.542,715.0,455.9,27.1,162.75,2
65,2026-08-10T21:04:36.023,1786367076.124,10792.124,2026-08-10T21:05:43.201,1786367143.298,10859.298,67.174,677.3,466.5,10.6,119.54,2
66,2026-08-10T21:05:43.201,1786367143.298,10859.298,2026-08-10T21:06:42.196,1786367202.305,10918.305,59.007,566.1,492.7,26.2,67.17,2
67,2026-08-10T21:06:42.196,1786367202.305,10918.305,2026-08-10T21:08:12.758,1786367293.0955,11009.095,90.79,567.8,507.2,14.5,59.01,2
68,2026-08-10T21:08:12.758,1786367293.0955,11009.095,,,,,659.0,530.8,23.6,90.79,3
