order,start_ts,start_t,start_video_sec,end_ts,end_t,end_video_sec,duration_sec,open_x,open_y,prev_y_delta,prev_dt_sec,n_clicks
39,2026-08-18T10:56:07.162,1787021767.2535,4748.253,2026-08-18T10:57:41.670,1787021861.7595,4842.76,94.506,311.2,431.3,17.3,33.56,5
40,2026-08-18T10:57:41.670,1787021861.7595,4842.76,2026-08-18T10:58:28.132,1787021908.241,4889.241,46.481,251.4,454.4,23.1,94.51,5
41,2026-08-18T10:58:28.132,1787021908.241,4889.241,2026-08-18T10:59:11.767,1787021951.9765,4932.977,43.736,254.6,469.5,15.1,46.48,2
42,2026-08-18T10:59:11.767,1787021951.9765,4932.977,2026-08-18T11:00:33.157,1787022033.243,5014.243,81.266,292.6,489.2,19.7,43.74,3
43,2026-08-18T11:00:33.157,1787022033.243,5014.243,2026-08-18T11:00:59.483,1787022059.6845,5040.684,26.441,251.9,507.3,18.1,81.27,2
44,2026-08-18T11:00:59.483,1787022059.6845,5040.684,2026-08-18T11:12:03.316,1787022723.417,5704.417,663.733,253.4,524.6,17.3,26.44,3
45,2026-08-18T11:12:03.316,1787022723.417,5704.417,2026-08-18T11:15:21.231,1787022921.335,5902.335,197.918,267.7,170.2,-354.4,663.73,2
46,2026-08-18T11:15:21.231,1787022921.335,5902.335,2026-08-18T11:20:21.956,1787023222.0645,6203.065,300.73,243.8,185.1,14.9,197.92,2
47,2026-08-18T11:20:21.956,1787023222.0645,6203.065,2026-08-18T11:21:10.768,1787023270.8715,6251.872,48.807,291.0,186.7,1.6,300.73,2
48,2026-08-18T11:21:10.768,1787023270.8715,6251.872,2026-08-18T11:23:26.118,1787023406.226,6387.226,135.355,266.8,206.5,19.8,48.81,2
49,2026-08-18T11:23:26.118,1787023406.226,6387.226,2026-08-18T11:24:21.758,1787023461.8965,6442.897,55.671,286.2,219.6,13.1,135.35,2
50,2026-08-18T11:24:21.758,1787023461.8965,6442.897,2026-08-18T11:27:11.736,1787023631.838,6612.838,169.941,244.4,242.0,22.4,55.67,2
51,2026-08-18T11:27:11.736,1787023631.838,6612.838,2026-08-18T11:27:43.184,1787023663.2925,6644.293,31.454,282.7,266.4,24.4,169.94,2
52,2026-08-18T11:27:43.184,1787023663.2925,6644.293,2026-08-18T11:30:41.967,1787023842.0715,6823.072,178.779,339.0,279.1,12.7,31.45,2
53,2026-08-18T11:30:41.967,1787023842.0715,6823.072,2026-08-18T11:37:22.523,1787024242.631,7223.631,400.559,270.7,296.8,17.7,178.78,2
54,2026-08-18T11:37:22.523,1787024242.631,7223.631,2026-08-18T11:38:46.477,1787024326.5705,7307.57,83.939,298.5,318.6,21.8,400.56,2
55,2026-08-18T11:38:46.477,1787024326.5705,7307.57,2026-08-18T11:40:09.830,1787024409.9355,7390.935,83.365,245.0,339.2,20.6,83.94,4
56,2026-08-18T11:40:09.830,1787024409.9355,7390.935,2026-08-18T11:41:40.295,1787024500.543,7481.543,90.608,257.9,352.7,13.5,83.37,4
57,2026-08-18T11:41:40.295,1787024500.543,7481.543,2026-08-18T11:44:29.593,1787024669.7085,7650.708,169.165,250.3,373.8,21.1,90.61,3
58,2026-08-18T11:44:29.593,1787024669.7085,7650.708,2026-08-18T11:45:15.523,1787024715.6275,7696.628,45.919,287.3,388.8,15.0,169.17,2
59,2026-08-18T11:45:15.523,1787024715.6275,7696.628,2026-08-18T11:46:37.924,1787024798.0175,7779.017,82.39,243.5,410.7,21.9,45.92,2
60,2026-08-18T11:46:37.924,1787024798.0175,7779.017,2026-08-18T11:47:56.275,1787024876.384,7857.384,78.367,282.4,434.4,23.7,82.39,2
61,2026-08-18T11:47:56.275,1787024876.384,7857.384,2026-08-18T11:49:15.326,1787024955.434,7936.434,79.05,329.3,455.9,21.5,78.37,2
62,2026-08-18T11:49:15.326,1787024955.434,7936.434,2026-08-18T11:50:49.487,1787025049.5865,8030.586,94.152,253.4,466.3,10.4,79.05,2
63,2026-08-18T11:50:49.487,1787025049.5865,8030.586,2026-08-18T11:53:03.964,1787025184.0675,8165.068,134.481,354.9,492.6,26.3,94.15,2
64,2026-08-18T11:53:03.964,1787025184.0675,8165.068,2026-08-18T11:54:35.483,1787025275.581,8256.581,91.513,335.1,508.5,15.9,134.48,2
65,2026-08-18T11:54:35.483,1787025275.581,8256.581,2026-08-18T11:58:46.411,1787025526.6275,8507.628,251.046,270.4,532.0,23.5,91.51,4
66,2026-08-18T11:58:46.411,1787025526.6275,8507.628,,,,,491.8,56.4,-475.6,251.05,2
