order,start_ts,start_t,start_video_sec,end_ts,end_t,end_video_sec,duration_sec,open_x,open_y,prev_y_delta,prev_dt_sec,n_clicks
45,2026-08-08T15:40:39.738,1786174840.0715,6230.072,2026-08-08T15:44:33.295,1786175073.61,6463.61,233.538,237.6,258.3,19.9,78.29,3
46,2026-08-08T15:44:33.295,1786175073.61,6463.61,2026-08-08T15:45:54.332,1786175154.4185,6544.418,80.809,271.6,280.5,22.2,233.54,3
47,2026-08-08T15:45:54.332,1786175154.4185,6544.418,2026-08-08T15:48:02.588,1786175282.7675,6672.767,128.349,263.6,294.2,13.7,80.81,2
48,2026-08-08T15:48:02.588,1786175282.7675,6672.767,2026-08-08T15:50:02.220,1786175402.5645,6792.565,119.797,253.3,317.1,22.9,128.35,5
49,2026-08-08T15:50:02.220,1786175402.5645,6792.565,2026-08-08T15:51:34.493,1786175494.796,6884.796,92.231,280.8,341.3,24.2,119.8,3
50,2026-08-08T15:51:34.493,1786175494.796,6884.796,2026-08-08T15:52:35.513,1786175555.827,6945.827,61.031,261.9,356.1,14.8,92.23,3
51,2026-08-08T15:52:35.513,1786175555.827,6945.827,2026-08-08T15:54:12.995,1786175653.0895,7043.089,97.263,257.5,379.9,23.8,61.03,3
52,2026-08-08T15:54:12.995,1786175653.0895,7043.089,2026-08-08T15:55:04.804,1786175704.887,7094.887,51.798,265.7,391.7,11.8,97.26,2
53,2026-08-08T15:55:04.804,1786175704.887,7094.887,2026-08-08T15:56:46.538,1786175806.6485,7196.648,101.761,269.3,416.3,24.6,51.8,5
54,2026-08-08T15:56:46.538,1786175806.6485,7196.648,2026-08-08T16:02:14.538,1786176134.706,7524.706,328.058,367.1,482.5,66.2,101.76,2
55,2026-08-08T16:02:14.538,1786176134.706,7524.706,2026-08-08T16:02:57.174,1786176177.5225,7567.523,42.816,262.9,492.8,10.3,328.06,3
56,2026-08-08T16:02:57.174,1786176177.5225,7567.523,2026-08-08T16:04:12.985,1786176253.0745,7643.075,75.552,262.8,511.2,18.4,42.82,4
57,2026-08-08T16:04:12.985,1786176253.0745,7643.075,2026-08-08T16:07:22.682,1786176442.7845,7832.784,189.71,295.4,522.1,10.9,75.55,2
58,2026-08-08T16:07:22.682,1786176442.7845,7832.784,,,,,409.4,398.2,-123.9,189.71,2
