order,start_ts,start_t,start_video_sec,end_ts,end_t,end_video_sec,duration_sec,open_x,open_y,prev_y_delta,prev_dt_sec,n_clicks
17,2026-08-08T18:37:28.134,1786185448.2195,694.22,2026-08-08T18:37:53.692,1786185473.786,719.786,25.566,445.5,446.1,17.7,10.97,2
18,2026-08-08T18:37:53.692,1786185473.786,719.786,2026-08-08T18:38:14.234,1786185494.3205,740.32,20.534,463.5,470.6,24.5,25.57,2
19,2026-08-08T18:38:14.234,1786185494.3205,740.32,2026-08-08T18:38:42.128,1786185522.2205,768.22,27.9,480.0,488.1,17.5,20.53,2
20,2026-08-08T18:38:42.128,1786185522.2205,768.22,2026-08-08T18:39:01.085,1786185541.1865,787.187,18.966,315.3,508.4,20.3,27.9,2
21,2026-08-08T18:39:01.085,1786185541.1865,787.187,2026-08-08T18:40:54.470,1786185654.552,900.552,113.365,399.1,526.8,18.4,18.97,4
22,2026-08-08T18:40:54.470,1786185654.552,900.552,2026-08-08T18:42:11.651,1786185731.7295,977.73,77.178,386.8,169.9,-356.9,113.37,2
23,2026-08-08T18:42:11.651,1786185731.7295,977.73,2026-08-08T18:42:58.061,1786185778.3675,1024.368,46.638,278.2,191.1,21.2,77.18,2
24,2026-08-08T18:42:58.061,1786185778.3675,1024.368,2026-08-08T18:43:14.242,1786185794.3285,1040.329,15.961,303.6,207.0,15.9,46.64,3
25,2026-08-08T18:43:14.242,1786185794.3285,1040.329,2026-08-08T18:44:19.054,1786185859.1445,1105.145,64.816,319.4,220.8,13.8,15.96,2
26,2026-08-08T18:44:19.054,1786185859.1445,1105.145,2026-08-08T18:44:48.212,1786185888.2955,1134.296,29.151,319.8,240.1,19.3,64.82,2
27,2026-08-08T18:44:48.212,1786185888.2955,1134.296,2026-08-08T18:45:29.868,1786185929.954,1175.954,41.658,307.8,259.3,19.2,29.15,2
28,2026-08-08T18:45:29.868,1786185929.954,1175.954,2026-08-08T18:45:53.311,1786185953.3975,1199.398,23.444,309.4,276.8,17.5,41.66,2
29,2026-08-08T18:45:53.311,1786185953.3975,1199.398,2026-08-08T18:46:21.706,1786185981.7885,1227.789,28.391,349.4,296.5,19.7,23.44,2
30,2026-08-08T18:46:21.706,1786185981.7885,1227.789,2026-08-08T18:47:31.531,1786186051.621,1297.621,69.832,289.3,318.6,22.1,28.39,2
31,2026-08-08T18:47:31.531,1786186051.621,1297.621,2026-08-08T18:49:00.670,1786186140.972,1386.972,89.351,318.7,336.0,17.4,69.83,2
